"sex" "age"
"id199" 1 59.2287213856115
"id300" 1 42.3255265759075
"id403" 0 31.2256933036807
"id415" 0 54.4555797538376
"id666" 1 61.0680300048809
"id689" 1 57.4552839509936
"id765" 0 52.3167507893245
"id830" 0 43.7549573793364
"id908" 1 36.854394308183
"id980" 0 81.570351122913
"id994" 0 42.3254483104223
"id1193" 1 76.2847338835159
"id1423" 1 44.2423351864668
"id1505" 0 50.8430923704755
"id1737" 0 33.2364464004155
"id1827" 0 54.3143494810082
"id1841" 1 35.9411264353613
"id2068" 1 58.0230933085578
"id2094" 1 65.9416158406651
"id2097" 1 38.9205296634732
"id2151" 1 50.1256242329659
"id2317" 1 56.5924548834773
"id2618" 1 47.1107120987794
"id2842" 1 51.4524790738059
"id2894" 1 46.6541985373528
"id2985" 0 46.5164818790614
"id3354" 1 34.5073981167186
"id3368" 0 42.4605993282668
"id3641" 0 52.6804417110333
"id3831" 1 34.1604555277105
"id3983" 1 35.5781045187061
"id4097" 0 65.3218527687332
"id4328" 0 65.9643617737814
"id4380" 0 38.5315656979983
"id4395" 1 42.902587816578
"id4512" 1 61.0565990799553
"id4552" 1 58.3742989441492
"id4710" 1 53.9366687536679
"id4717" 0 40.9534098302881
"id4883" 1 35.1140687711417
"id4904" 1 70.4626994189703
"id4934" 1 46.5737713722037
"id4961" 0 58.41675016269
"id5014" 1 70.8754574253598
"id5078" 1 37.717995296055
"id5274" 1 58.1131479796439
"id5275" 1 47.7859245378034
"id5454" 0 59.2218765889101
"id5853" 1 77.1455650717932
"id5926" 1 56.2836180294809
"id5969" 1 67.301163731626
"id6237" 1 47.9676384885996
"id6278" 0 57.4830687321278
"id6352" 1 43.0751482850369
"id6501" 0 36.007600477348
"id6554" 1 59.6280591609601
"id6663" 0 37.2319854171049
"id6723" 0 64.8503032457464
"id7499" 1 68.6020481785234
"id7514" 0 50.9584442012058
"id7541" 1 68.8106942463172
"id7598" 1 39.1222679018069
"id7623" 0 48.7766836582947
"id7949" 0 45.1141830332014
"id8059" 0 30.3752670790561
"id8128" 1 54.5743160840897
"id8281" 0 60.5341901106407
"id8370" 1 59.0144516226664
"id8400" 1 31.8755171396003
"id8433" 1 68.0622375830084
"id8772" 1 32.580064138524
"id8880" 0 48.6952348393517
"id8890" 1 30.7816864570491
"id8957" 0 35.5458345310901
"id8996" 0 36.4765282939332
"id9082" 1 53.7459964047715
"id9901" 0 44.7563688328314
"id9930" 1 49.7040141561469
"id6954" 0 38.3576355581194
"id2136" 0 48.6268620911269
"id858" 0 40.74886563488
"id1857" 0 31.9311202475456
"id2528" 0 27.2248876970445
"id4862" 0 69.473733729716
"id9184" 0 53.5739880000837
"id5677" 0 39.3222073130799
"id6407" 1 39.6050557444982
"id5472" 0 27.3056521291628
"id2135" 0 53.7798773043438
"id8545" 1 48.6633315345431
"id4333" 1 64.7284099119948
"id1670" 0 28.8438079990039
"id1536" 1 26.0645904100166
"id6917" 1 40.1704157965132
"id6424" 0 31.5073157510165
"id3917" 1 54.1824578634591
"id9628" 0 50.8420755179826
"id9635" 1 38.2641842476288
"id4729" 1 24.9719041954811
"id5190" 1 72.6527866373929
"id6399" 0 60.2210244464047
"id6062" 0 53.8009391757687
"id620" 0 23.8424120234932
"id1116" 0 50.1652099397486
"id6486" 1 36.7549098352978
"id41" 0 64.28191987072
"id677" 1 39.0925944972549
"id4947" 0 48.0775354770549
"id9749" 0 35.129501818319
"id6428" 0 28.6028486054557
"id7488" 1 48.7298070340402
"id5949" 0 61.1331657831495
"id2924" 0 34.9636565285888
"id5783" 1 45.0061487781461
"id4096" 0 43.0475120285927
"id903" 0 35.9246745543948
"id9049" 1 56.3027469544043
"id185" 1 55.247248832345
"id1002" 0 65.3008545863673
"id362" 1 48.9375022081136
"id9014" 1 50.1304324345543
"id5044" 1 67.1271226135967
"id2749" 0 37.665869404638
"id2286" 0 52.602335034554
"id4743" 0 51.0513103212545
"id4185" 1 32.5326101057474
"id8330" 1 64.3825321900303
"id6934" 0 37.2050530684033
